>AA|ECRITURE IMMO|19 430 336 301,00|19 430 336 301,00
75851200|Recettes Dvs.|0,00|115 270,00
76811000|Autr.Prod.Financiers|25 961,00|399 261,00
>EA|Estimé Achat|10 420 664 902,00|10 420 664 902,00
23199999|cpte Technique IMMO|2 739 842 818,50|2 679 723 274,50
32110099|ESTIME Stoc.Chl.&sel|63 301 705,00|2 146 360,00
32210099|ESTIME Stoc.PDTS PET|40 749 401,50|38 611 813,00
40810000|FAR Charges HG|1 276 658 762,50|1 183 916 498,50
40810100|FAR Charges Groupe|677 816 062,50|613 799 663,50
40841110|FAR Immos HG|1 391 031 602,50|1 232 588 939,00
40841120|FAR Immos Groupe|1 805 543 639,50|2 039 518 217,00
44586000|TCA/Provision FAR|218 553 608,00|218 553 608,00
44586050|TVA//sur FAR|622 687 852,50|631 676 975,50
46861100|Charges à payer -|1 405 000,00|0,00
60321099|Vt.Stk.Chlo. calcium|0,00|35 091 192,50
60321199|Vt.Stk.Chlo.calc.liq|37 146 360,00|62 733 270,00
60322099|Vt.Stk.Chlo. sodium|0,00|228 742,50
60322299|Vt.Stk.Pr..pétrolier|38 611 813,00|40 997 901,50
60611000|Eau|4 773 513,00|3 318 768,50
60612000|Electricité|4 602 081,50|5 373 198,00
60613000|Autres énergies|215 939,50|169 319,50
60621000|Carburants non stock|980 328,50|1 586 450,00
60621800|GAZOLE NS/ TVA 80%|5 713 963,50|4 853 891,50
60631000|Pièc.Rech.Mat.Roult.|3 911 082,00|5 188 321,50
60631100|Pièc.Rech.Mat.Péage|5 677 804,00|6 001 821,00
60631200|Pièc.Rech.Mat.Electr|5 046 555,00|5 597 368,50
60631900|Autr.Pièc.Rechange|2 749 341,00|2 780 506,50
60632000|Petit outil.atel.V-S|2 287 846,00|1 833 775,00
60633000|Sign.Sécurit.Viabil.|4 031 206,50|4 337 345,50
60633500|Sign.verticale.temp.|2 237 527,50|4 441 327,00
60634000|Fourniture entretien|5 622 303,50|10 591 806,50
60635000|Vêtement trav.n.stoc|4 750 707,00|5 351 274,50
60636000|Fourniture bâtiment|9 090 221,00|5 165 672,50
60638000|TICKETS DE PEAGE|634 950,00|634 550,00
60638100|CERT. DE PASSAGE|411 084,00|418 998,50
60638200|IMPRIMES PEAGE|83 800,00|106 900,00
60638300|Ptes four.péage|357 733,00|716 644,00
60641000|Papier repro|793 310,00|885 487,00
60642000|Fourniture hs.papier|1 881 106,00|3 204 080,00
60643000|Mat.Mob.Bur.pet.val.|1 990 906,50|1 878 589,50
60644000|Consom.informatiqu.|3 377 479,00|1 674 718,50
60644200|Cartes cir -supp abt|29 468,50|41 399,50
60686000|Autres Fournitures|0,00|2 250 000,00
61321000|Loyers immeuble|1 298 331,50|1 279 692,00
61351000|Locat.véhicules|3 136 989,00|3 418 888,50
61351200|Locat.véhicules -LLD|1 641 223,50|1 404 832,00
61351300|Véhicules Servic-LLD|2 892 327,50|2 036 020,00
61352000|Locat.mat.exploitat.|2 736 471,00|1 954 527,00
61353000|Locat.entr.photocop.|4 892 933,00|5 069 047,00
61355000|Autr.locat.mat.bur.|209 277,00|276 090,00
61401000|Charges locatives|728 005,00|576 325,00
61511000|GR chaussées.terrass|325 365 385,00|326 982 271,00
61511100|GR ouvrages hydroliq|37 410 405,00|26 150 365,00
61511200|GR ouvrage d'art|204 850 144,50|183 483 735,00
61511500|GR des portiq.potenc|1 573 430,00|3 159 180,00
61512000|Entr.court.chaus.ter|27 974 507,50|31 788 541,00
61512110|Entr.court.réseau hy|5 498 457,50|11 538 229,50
61512120|Entr.court.ouv.trave|25 332 762,00|35 942 432,00
61512130|Entr.court.bas.et ou|72 750,00|964 750,00
61512200|Entr.court.ouvr.art|28 713 876,50|32 765 072,50
61513000|Contr.suiv.chaus.ter|21 912 301,50|22 199 195,50
61513100|Contr.suiv.ouvr.hydr|6 401 358,50|4 985 915,50
61513200|Contr.suiv.ouvr.d'ar|13 698 957,00|21 229 023,00
61514100|Mis.plac.sign.ch.pro|15 701 881,50|14 898 536,50
61515000|Entr.sign.horizont.|22 601 911,00|25 482 059,50
61515100|Entr.sign.vert.perm.|5 641 179,50|10 638 215,00
61515200|Entr.sign.vert.temp.|172 350,00|172 350,00
61515300|Entr.des glissières|4 672 190,00|22 301 319,50
61515400|Entr.superstruc.gare|9 422 729,50|10 361 502,00
61515500|Entr.clôture portail|11 923 632,50|11 796 243,00
61515600|Entr.éclairag.public|7 032 663,50|4 197 185,00
61515800|Entr.végétation|49 124 771,50|49 363 812,50
61515900|Nettoy.court.locaux|7 443 262,50|6 713 335,00
61515930|Nettoy.ct.voie péage|3 016 821,00|2 284 556,00
61515950|Nettoy. Environmnt.|2 253 044,00|3 270 069,00
61515960|Déchets des aires|3 914 094,00|5 676 556,50
61521000|Entr.constructions|20 498 238,50|28 773 742,00
61522000|Entr.stat.traitem.ea|3 543 639,00|3 711 001,00
61551000|Entr.mat.péage|2 847 605,00|6 701 852,50
61551100|Entr.mat.viab.sécur.|8 776 827,50|15 087 865,00
61551200|Entr.mat.rés.transmi|49 466 666,50|54 464 874,50
61551300|Entr.équipt éléctriq|12 365 444,50|20 165 906,50
61551400|Entr. Mat. supervis|0,00|648 950,00
61551500|Entr. Mat. ventilat°|2 699 137,00|3 429 841,50
61551600|Entr. Mat. vidéo|1 201 100,00|1 232 869,50
61555000|Entr.VL|752 676,50|1 101 205,50
61555020|Entretien V.L. -LLD|1 359 651,50|901 425,50
61555100|Entr.Utilitaire|2 645 065,00|3 128 851,00
61555200|Entr.PL/SPL|15 725 493,00|16 029 523,00
61561000|Mainten.logiciels|29 116 587,00|33 824 899,50
61565000|Autr.entr.maintenan.|85 883 566,00|99 585 008,00
61611000|Responsabilit.civile|1 162 750,00|1 162 750,00
61613000|Autres assurances|25 133 304,00|25 133 304,00
61701000|Etudes Investissem.|0,00|299 000,00
61811000|Abonnements/Périod.|618 190,50|717 368,00
62111000|Personnel intérimair|37 916,50|61 676,50
62141000|Personnel supplétif|85 399 828,50|96 084 191,00
62142000|Personnel Détaché|1 543 209,50|1 353 661,50
62261000|Etudes générales|44 014 709,50|48 579 283,00
62261100|Coordinat.chantiers|10 216 475,00|7 758 725,00
62261200|Contrat assistance|13 759 711,50|14 877 107,00
62261300|Assist.viabil.hivern|4 596 532,00|13 933 035,50
62261500|Cont.APAVE Aut.as.lg|3 991 223,00|4 489 461,00
62261600|Prest. Géomètre|0,00|153 300,00
62261700|Assistance SDIS|5 654 538,50|8 037 900,00
62262000|Honoraires|23 969 484,00|34 920 608,50
62262100|Honoraires recrutem.|2 935 225,00|34 222,50
62371000|Pub.publi.relat.publ|24 409 156,00|27 964 425,00
62372000|Audiovisuel|1 175 000,00|195 500,00
62381000|Sponsoring|163 250,00|125 000,00
62382000|Mécénat|5 012 500,00|5 000 000,00
62481000|Transport de Biens|1 146 739,00|316 346,00
62511000|Frs.déplacts.facturé|763 821,00|634 342,00
62555100|Frs.de déménagement|462 050,00|462 050,00
62561000|Missions:Notes Frais|350 000,00|575 000,00
62561100|I.K. : NDF|70 000,00|760 000,00
62562000|NDF Repas TVA reduit|0,00|560 000,00
62562100|Miss.:Repas-facturé|3 481 732,50|4 175 544,50
62562200|Miss.:Hôtel-facturé|2 319 360,00|1 155 357,50
62562300|Miss.:Divers-facturé|8 682 532,00|8 151 933,50
62571000|Récept.Repas facturé|2 180 148,00|2 397 538,50
62572000|Récept.Hôtel facturé|732 572,00|71 409,00
62573000|Récept.Diver facturé|933 418,00|1 071 855,00
62611000|Achat timbres|4 490 915,50|3 762 844,00
62611100|Mach.à affranchir|442 085,00|450 886,00
62621000|Contr.téléph.portabl|1 764 388,00|1 270 921,50
62621100|Contr.téléph.fixe|3 263 513,50|2 953 733,00
62621300|Contr.rés.spécialisé|6 783 074,50|14 089 967,50
62811000|Divers.façons extern|4 714 255,50|6 154 015,00
63542000|Autr.taxe/véhicules|312 900,00|254 550,00
63581000|Autres droits|0,00|26 533,50
64149000|INDEMNITES TRANSPORT|122 850,00|0,00
64751000|Assistance médicale|905 616,00|622 524,00
64812000|F.P.REPAAEX|4 122,50|25 098,00
64812100|F.P.HOTEAEX|0,00|36 702,00
64813000|F.P.REPASTA|911 306,00|1 081 599,50
64813100|F.P.HOTESTA|7 333 745,50|7 593 293,50
64814000|F.P.FRAISDV|203 223,50|213 997,50
64814100|F.P.LOCMAT|11 800,00|21 800,00
64814700|F.P.DEPLAEX|0,00|5 300,00
64814800|F.P.DEPLSTA|61 159,50|64 865,50
64815100|F.P.INSCAEX|10 225 863,00|12 022 122,00
64815200|F.P.REAPEDA|168 087,00|2 791 607,00
64821000|Restau.d'entreprise|5 030 000,00|5 210 000,00
64822000|Tickets restaurant|16 445 150,00|18 211 300,00
64871000|Oeuv.Sles. Diverses|1 814 469,00|1 452 993,50
>ES|Estimé Recette|146 849 741 828,00|146 849 741 828,00
41199999|Encaist à venir/mois|29 455 119 343,50|29 455 119 343,50
41812000|Factures à établir|37 366 925 498,00|37 148 668 629,50
42842000|Intéressement .Sal.|2 032 675,50|2 032 675,50
44587000|TVA/Fact.à établir|6 174 802 148,50|6 225 252 314,00
45108000|CC Vinci Autoroutes|6 454 891 924,00|6 454 891 924,00
46861100|Charges à payer -|81 745 934,50|85 683 254,00
50811200|COMPTE DEPOT A T. IG|0,00|781 333,00
51140690|Vir.-S.G. Tours|6 185 512,00|6 187 604,50
51185100|Report BNP Kléber|104 799 728,50|104 799 728,50
51199999|Encaist à venir/mois|35 910 011 267,50|35 910 011 267,50
60622000|Carburants : NDF|58 717,50|58 717,50
60642100|Autre Fournit. : NDF|27 654,50|27 654,50
61351100|Loc. véhicules : NDF|17 218,00|17 218,00
61555010|Entretien VL : NDF|6 951,00|6 951,00
62142000|Personnel Détaché|121 272,50|92 217,50
62511000|Frs.déplacts.facturé|3 625,00|3 625,00
62561000|Missions:Notes Frais|635 513,50|635 513,50
62561100|I.K. : NDF|624 025,00|624 025,00
62562000|NDF Repas TVA reduit|589 367,00|589 367,00
62721000|Serv.des emprunts|15 000,00|15 000,00
62724000|Serv.crédit syndiqué|90 204,50|90 204,50
62781000|Commis.cartes bleues|66 980 325,00|60 769 855,00
62781100|Commis.carte accréd.|10 385 413,50|10 293 758,00
62781200|Commis.TIS- PL|55 114 567,00|53 847 942,50
62782000|Commis.sur cautions|1 380 059,50|1 215 912,00
62783000|Commis./ prélèvement|5 063 776,00|5 074 347,00
62783100|Commis./ mouvements|4 075 371,50|6 975 266,00
62784100|Com. Sogeplan-Castor|16 145 897,00|17 299 127,00
62785000|Commis./rejet préléV|695 040,00|832 204,50
62786000|Commis. Cats|21 371,00|21 371,00
62788000|Commis.diverses|1 636 540,00|1 231 258,00
63513100|Taxe Conces.Autor.|470 950,00|470 950,00
64751100|Assis.médicale : NDF|3 956,50|3 956,50
64813010|F.P.REPASTA-NDF|20 757,50|20 757,50
64814810|I.K. Stagiaire : NDF|26 350,00|26 350,00
64814820|F.P.DEPLSTA-NDF|8 235,00|8 235,00
64871100|Oeuvre Sociale : NDF|13 930,00|13 930,00
65412000|Perte/Péages et CB|191 610,00|207 105,00
65811300|Ecart perte CCI|142 570,00|142 255,00
66611100|Perte Chang./Péages|58 672,00|49 589,50
66811000|Ecarts NRP et REG|127,00|151,50
67121000|Pénal.amende fiscale|4 125,00|4 125,00
70611999|ESTIME Rec.Péage col|2 218 620 384,00|2 317 457 166,50
70612999|ESTIME Rec.CB&Accréd|16 806 610 006,00|16 561 109 758,00
70630999|ESTIME Recet.ABO.VL|6 630 739 415,50|6 835 386 611,50
70637999|ESTIME Recet.ABO.PL|5 464 675 225,00|5 574 498 197,50
75821000|Rbts./ Sinistres|2 127 532,50|2 127 532,50
75851200|Recettes Dvs.|2 567 881,00|2 597 761,50
76111000|Produits/ Participat|1 308 578,00|1 308 578,00
76611000|Gains Change/ Péages|828,50|814,50
76611200|Autres gains change|761 171,00|0,00
76711000|Produits/ Placements|1 002,00|783 305,50
76712100|Pdt plct cpte à T VA|781 333,00|0,00
76811000|Autr.Prod.Financiers|405 247,50|375 089,00
>FP|INTERFACE TIP-CISA|55 914 258 742,50|55 914 258 742,50
41111000|Clients Abonnés|222 819 350,50|530,00
41111100|Clients  TIS-PL|20 532 064 165,50|1 437 214 979,50
44566019|TVA Biens/Serv.(19,6|815 024,00|410 081,50
44566020|TVA DED DEBIT B&S20%|8 763 120,50|0,00
44571018|TVA coll.19,60 Péag.|1 154 697,00|748 100,00
44571028|TVA coll.s/enc 19,60|1 660 731,00|159 530 894,00
44571100|TVA coll.s/enc TISPL|237 555 605,00|471 881 454,50
44571120|TVA coll.dbt 20%Péag|252 736 714,00|1 048 354 977,00
44571130|TVA coll.s/enc 20%|348 990 738,50|2 427 791 330,50
44571132|TVA c.s/encTISPL 20%|0,00|2 949 482 006,50
44587000|TVA/Fact.à établir|46 308 358,50|46 308 358,50
46702010|ARCOUR CISA|0,00|21 737 085,00
46702599|Cartes accréditeurs|5 232 379 329,00|0,00
46702666|SCA PARTAGES|0,00|1 523 466 295,00
46702777|Clients Partages|1 039 174 615,00|0,00
46704966|SCA RETROCESSION|0,00|2 229 466 570,00
46704977|Clients Rétrocession|15 562 194 567,00|2 122 890 650,00
46705000|Liber'T-COFI Fact.VP|100 063 722,50|0,00
46705100|LiberT-COFI Fact.ADL|615 600,00|0,00
46705200|LiberT-COFI Fact.LPA|666 550,00|0,00
46705300|Rés. Etendu Park.ASF|7 572 910,00|0,00
46705400|Rés. Et. Ouv. Ro.ASF|9 506 460,00|0,00
46705800|Liber'T-ATLANDE fact|16 891 590,00|0,00
46705900|Liber'T-ALIS Factur.|60 760 985,00|0,00
46706000|Liber'T-AREA Factur.|73 454 050,00|0,00
46706100|Liber'T-ASF Factur.|902 477 315,00|0,00
46706200|Liber'T-ATMB Factur.|23 849 995,00|0,00
46706300|Liber'T-ESCOTA Fact.|68 251 010,00|0,00
46706400|Liber'T-SANEF Fact.|231 521 601,00|0,00
46706410|Liber'T-RPAS Fact.|9 136 615,00|0,00
46706500|Liber'T-SAPN Fact.|172 390 180,00|0,00
46706600|Liber'T-SAPRR Fact.|523 326 150,00|0,00
46706700|Liber'T-SPTRF Fact.|4 990 095,00|0,00
46706800|Liber'T-MILLAU FACT|16 214 685,00|0,00
46706900|Liber'T-ADELAC Fact.|3 938 230,00|0,00
46706910|Liber'T-ALICOR Fact.|10 852 300,00|0,00
46706920|Liber'T-ALIENOR Fact|16 852 795,00|0,00
46707000|Liber'T-ARCOUR Fact.|77 479 604,00|0,00
46708666|RETROCESSION VP|0,00|100 063 722,50
46708770|RETROCESSION ADL|6 749 425,00|90 124 525,00
46708780|RETROCESSION LPA|12 063 475,00|134 222 425,50
46871000|Produits à recevoir|277 954 340,00|277 954 340,00
62781100|Commis.carte accréd.|19 284 058,50|0,00
62781200|Commis.TIS- PL|28 689 750,50|2 092 252,00
70611110|Péages Compt.ARCOUR|67 616 820,50|13 648 620,50
70611111|Péages Accréd.ARCOUR|73 473 628,50|16 487 099,00
70611120|Péages C.BancARCOUR|370 157 982,00|90 803 803,00
70611130|Péages Compt.ATMB|598 431,50|408 551,50
70611140|Péages C.Banc ATMB|3 481 907,00|2 123 777,00
70611141|Péages Accréd. ATMB|304 235,50|218 343,00
70611150|Péages Compt. SANEF|16 987 056,00|12 605 466,00
70611160|Péages C.Banc SANEF|42 376 173,50|35 871 621,00
70611161|Péages Accréd. SANEF|9 803 295,50|6 856 247,50
70611200|Péages Compt.ASF|357 251 940,00|338 575 911,00
70611300|Péages C.Banc.ASF|1 796 459 683,00|2 041 100 717,00
70611301|Péages Accréd. ASF|246 549 101,50|253 347 375,50
70611400|Péages Compt.SAPRR|170 463 240,50|160 412 794,50
70611500|Péages C.Banc.SAPRR|1 141 992 625,50|1 039 997 326,50
70611501|Péages Accréd. SAPRR|116 834 068,50|104 296 635,50
70611600|Péages Compt. ALIS|70 226 302,50|51 850 638,00
70611700|Péages C.Banc.ALIS|336 725 958,00|275 133 195,50
70611701|Péages Accréd. ALIS|74 429 750,50|48 410 483,50
70612200|Péages D.K.V.|29 018 862,50|461 213 227,50
70612210|Péages RESSA|1 360 060,50|15 946 585,50
70612300|Péages TOTAL|145 480 311,00|3 488 311 532,50
70612400|Péages U.T.A.|12 679 824,50|88 684 882,00
70612600|Péages ESSO|7 375 293,50|104 990 714,00
70612700|Péages SHELL|35 731 629,50|452 099 503,50
70621500|Abts.Cartes ASF VL|0,00|44 975,00
70623100|Abts.Interautor.PL|443,50|167 548 138,50
70623300|Ten.cpte.Interaut.PL|0,00|16 923,50
70637000|LIBER 'T - TIS PL|1 267 729 297,00|18 169 447 442,00
70637300|TIS PL (hors offre)|51 922 428,00|537 170 015,00
70640100|LIBER 'T ALIS|103 758 513,00|216 044 174,00
70640200|LIBER 'T SPTRF|9 289 921,00|48 527 631,00
70640300|LIBER 'T AREA|0,00|288 607 443,50
70640400|LIBER 'T ASF|1 390 762 854,50|6 642 511 195,50
70640600|LIBER 'T ESCOTA|0,00|69 882 289,50
70640700|LIBER 'T SANEF|0,00|1 542 353 527,50
70640800|LIBER 'T SAPN|0,00|979 683 765,00
70640900|LIBER 'T SAPRR|249 615 079,00|2 948 300 127,00
70640950|LIBER 'T ALICORNE|0,00|1 024 936,00
70641000|LIBER 'T ATMB|0,00|48 344 682,00
70697000|Rem./ Abts. TIS PL|1 551 631 518,00|107 615 850,00
>FS|Abonné Prélevé|7 572 133 799,50|7 572 133 799,50
41111000|Clients Abonnés|5 863 953 333,00|2 723 608,50
44571028|TVA coll.s/enc 19,60|295 542,00|51 523 054,50
44571130|TVA coll.s/enc 20%|334 952,00|539 187 923,50
46703400|Liber'T-Transv.Poit|1 657 831,50|0,00
46703500|Liber'T-Trans.Rétro.|11 895 769,00|0,00
46704977|Clients Rétrocession|1 483 936 411,50|0,00
46705000|Liber'T-COFI Fact.VP|9 345,00|100 072 667,50
46705100|LiberT-COFI Fact.ADL|0,00|615 100,00
46705200|LiberT-COFI Fact.LPA|0,00|666 550,00
46705300|Rés. Etendu Park.ASF|0,00|7 572 710,00
46705400|Rés. Et. Ouv. Ro.ASF|0,00|9 506 320,00
46705800|Liber'T-ATLANDE fact|1 870,00|16 892 935,00
46705900|Liber'T-ALIS Factur.|19 210,00|60 779 710,00
46706000|Liber'T-AREA Factur.|7 335,00|73 459 380,00
46706100|Liber'T-ASF Factur.|9 292 500,00|902 669 025,50
46706200|Liber'T-ATMB Factur.|13 880,00|23 867 045,00
46706300|Liber'T-ESCOTA Fact.|1 580,00|68 251 520,00
46706400|Liber'T-SANEF Fact.|57 465,00|231 574 771,00
46706410|Liber'T-RPAS Fact.|0,00|9 136 615,00
46706500|Liber'T-SAPN Fact.|5 795,00|172 394 280,00
46706600|Liber'T-SAPRR Fact.|154 999,50|523 478 849,00
46706700|Liber'T-SPTRF Fact.|0,00|4 989 550,00
46706800|Liber'T-MILLAU FACT|0,00|16 209 490,00
46706900|Liber'T-ADELAC Fact.|0,00|3 938 230,00
46706910|Liber'T-ALICOR Fact.|600,00|10 852 720,00
46706920|Liber'T-ALIENOR Fact|0,00|16 852 795,00
46707000|Liber'T-ARCOUR Fact.|19 022 021,00|96 500 569,50
46708666|RETROCESSION VP|0,00|1 483 936 411,50
62512000|FORFAIT CIRCULATION|6 134 196,50|25 530,00
70630000|LIBER 'T Cofiroute|3 531 094,50|2 141 573 834,50
70630100|LIBER 'T Cofi.Maint.|31 975,50|63 787,50
70631000|LIBER 'T Domic.trav.|0,00|87 522,50
70631100|LIBER 'T Mobilité|86 496,00|419 513 699,00
70631200|LIBER 'T Universi-t|4 065,50|8 006 371,00
70632000|LIBER 'T Transloire|251,50|29 738 891,00
70632200|LIBER'T Transv.Poit|508,50|8 289 843,00
70633000|LIBER'T Tranquillité|21 276,50|87 972 830,00
70634000|LIBER 'T Dourdan|85 315,00|48 527 563,50
70635000|LIBER 'T Tours|50 334,00|34 240 418,00
70635010|LIBER 'T Activ A86|101 805,00|252 261 342,50
70635020|LIBER 'T Covoit A86|0,00|177 964,50
70636000|LIBER 'T TOTAL|0,00|8 754,00
70638000|LIBER 'T Frs.gestion|33 822 481,50|113 945 718,50
70698200|Rem./ Transv. Poit|1 657 831,50|0,00
70699100|Rem./LIBER'T-D.Trav.|17 504,00|0,00
70699200|Rem./LIBER'T Transl.|4 463 390,50|0,00
70699500|Rem./LIBER'T Maint.|63 787,50|0,00
70699510|Rem/LIBER'T Act. A86|53 819 038,50|39 017,00
70699520|Rem/LIBER'T Cov. A86|56 588,50|0,00
70699600|Rem./LIBER'T Tranqu.|5 897 956,50|381,50
70699700|Rem./LIBER'T Mobil.|69 196 234,50|8 501,00
70699800|Rem./LIBER'T Univers|2 431 228,50|0,00
>IM|IMPAYE|151 218 028,00|151 218 028,00
41111000|Clients Abonnés|76 141 634,50|84 948,50
51130601|Pr.émis.-S.G. CIA|82 716,50|1 145 726,50
51139601|Pr.Rejet S.G. CIA|74 993 676,50|74 993 676,50
51211601|Sociét.Gle.Paris CIA|0,00|74 993 676,50
62788000|Commis.diverses|0,50|0,00
>KA|Pièce fournisseur|211 429 326,50|211 429 326,50
13112000|Sub. d'equipement EC|0,00|50 000 000,00
40111000|Fournisseurs|164 354 926,50|47 074 400,00
40911000|Avanc.& Acpte./Comde|0,00|114 354 926,50
44412000|CH.A PAYER IS|46 881 400,00|0,00
63781000|Taxes Diverses|193 000,00|0,00
>KP|Gestion des comptes|69 459 696,50|69 459 696,50
23199999|cpte Technique IMMO|5 769 125,00|21 864 835,00
40810000|FAR Charges HG|37 338 695,00|2 404 317,00
40810100|FAR Charges Groupe|1 007 847,00|1 074 877,50
40841110|FAR Immos HG|7 124 085,50|311 564,50
40841120|FAR Immos Groupe|14 740 749,50|5 457 560,50
60611000|Eau|0,00|1 137 756,50
60612000|Electricité|0,00|11 098,00
60621000|Carburants non stock|0,00|117 788,50
60621800|GAZOLE NS/ TVA 80%|33 962,00|585 271,00
60631000|Pièc.Rech.Mat.Roult.|0,00|305 559,50
60631200|Pièc.Rech.Mat.Electr|0,00|16 861,50
60631900|Autr.Pièc.Rechange|8 471,00|47 416,50
60632000|Petit outil.atel.V-S|0,00|27 949,50
60633500|Sign.verticale.temp.|0,00|312 500,00
60634000|Fourniture entretien|0,00|260 829,50
60635000|Vêtement trav.n.stoc|0,00|28 124,00
60636000|Fourniture bâtiment|0,00|173 821,50
60641000|Papier repro|0,00|35 869,00
60642000|Fourniture hs.papier|0,00|100 719,00
60643000|Mat.Mob.Bur.pet.val.|0,00|119 402,00
60644000|Consom.informatiqu.|0,00|13 170,50
60644200|Cartes cir -supp abt|651,50|3 729,00
61351000|Locat.véhicules|5 694,00|18 072,50
61351200|Locat.véhicules -LLD|163 069,00|1 262 800,00
61351300|Véhicules Servic-LLD|0,00|177 047,50
61352000|Locat.mat.exploitat.|0,00|217 555,00
61353000|Locat.entr.photocop.|2 806,00|96 892,00
61355000|Autr.locat.mat.bur.|0,00|12 705,00
61401000|Charges locatives|186 247,50|0,00
61511000|GR chaussées.terrass|0,00|3 144 165,50
61511100|GR ouvrages hydroliq|0,00|294 229,50
61511200|GR ouvrage d'art|1,50|468 696,50
61512000|Entr.court.chaus.ter|459 050,00|229 492,50
61512110|Entr.court.réseau hy|0,00|116 702,50
61512120|Entr.court.ouv.trave|94 000,00|187 110,00
61512200|Entr.court.ouvr.art|0,00|271 377,50
61513000|Contr.suiv.chaus.ter|0,00|32 500,00
61513100|Contr.suiv.ouvr.hydr|0,00|0,50
61515000|Entr.sign.horizont.|0,00|9 900,00
61515100|Entr.sign.vert.perm.|0,00|70 500,00
61515400|Entr.superstruc.gare|0,00|234 145,00
61515500|Entr.clôture portail|0,00|68 350,00
61515600|Entr.éclairag.public|0,00|45 294,00
61515800|Entr.végétation|0,00|393 258,50
61515900|Nettoy.court.locaux|0,00|48 781,50
61515930|Nettoy.ct.voie péage|0,00|56 961,00
61515950|Nettoy. Environmnt.|0,00|70 780,00
61515960|Déchets des aires|3 233,00|138 243,00
61521000|Entr.constructions|0,00|2 849 538,50
61522000|Entr.stat.traitem.ea|0,00|254 981,00
61551000|Entr.mat.péage|47 174,00|198 081,00
61551100|Entr.mat.viab.sécur.|0,00|568 318,50
61551200|Entr.mat.rés.transmi|0,00|3 903 405,50
61551300|Entr.équipt éléctriq|552 826,50|65 475,00
61555000|Entr.VL|0,00|87 632,50
61555020|Entretien V.L. -LLD|10 362,50|476 109,00
61555100|Entr.Utilitaire|0,00|58 327,00
61555200|Entr.PL/SPL|0,00|1 124 779,50
61565000|Autr.entr.maintenan.|0,00|896 798,00
61701000|Etudes Investissem.|0,00|117 000,00
61811000|Abonnements/Périod.|0,00|6 838,50
62111000|Personnel intérimair|0,00|16 197,00
62141000|Personnel supplétif|421 250,00|496 202,50
62261000|Etudes générales|0,00|60 641,00
62261200|Contrat assistance|26 330,00|1 001 456,50
62261300|Assist.viabil.hivern|0,00|1 094 245,00
62261500|Cont.APAVE Aut.as.lg|0,00|149 943,50
62261700|Assistance SDIS|0,00|433 509,50
62262000|Honoraires|22 500,00|1 753 626,50
62371000|Pub.publi.relat.publ|0,00|1 499 460,50
62382000|Mécénat|1 250 000,00|0,00
62511000|Frs.déplacts.facturé|500,00|24 776,00
62562100|Miss.:Repas-facturé|3 459,50|359 669,00
62562200|Miss.:Hôtel-facturé|8 875,00|48 722,50
62562300|Miss.:Divers-facturé|83 121,00|249 620,00
62571000|Récept.Repas facturé|75 805,00|22 294,00
62611000|Achat timbres|0,00|140 587,50
62611100|Mach.à affranchir|0,00|33 500,00
62621000|Contr.téléph.portabl|1 850,50|62 276,00
62621100|Contr.téléph.fixe|0,00|2 258,50
62621300|Contr.rés.spécialisé|0,00|697 875,50
62811000|Divers.façons extern|0,00|2 231 150,50
62841000|Frs.recrut.personnel|0,00|60 000,00
63542000|Autr.taxe/véhicules|0,00|62 812,50
64751000|Assistance médicale|0,00|87 315,50
64812000|F.P.REPAAEX|0,00|4 112,00
64813000|F.P.REPASTA|0,00|71 185,00
64813100|F.P.HOTESTA|17 955,00|27 545,00
64814000|F.P.FRAISDV|0,00|22 619,50
64814800|F.P.DEPLSTA|0,00|3 500,00
64815100|F.P.INSCAEX|0,00|820 631,50
64815200|F.P.REAPEDA|0,00|8 778,00
64821000|Restau.d'entreprise|0,00|5 181 745,50
64871000|Oeuv.Sles. Diverses|0,00|47 577,00
>KR|Facture fournisseur|850 970,00|850 970,00
23199999|cpte Technique IMMO|640 140,00|0,00
40111000|Fournisseurs|0,00|850 970,00
44562000|TVA s/enc. s/Immo 19|138 180,00|0,00
62371000|Pub.publi.relat.publ|72 650,00|0,00
>NF|PERSONNEL - NDF|47 310 903,00|47 310 903,00
42511000|Pers:Notes de frais|126 495,50|47 184 407,50
44566005|TVA Biens/Serv.(5,50|34 003,50|0,00
44566007|TVA Biens/Serv.(7%)|114 231,00|0,00
44566010|TVA Biens/Serv.(10%)|1 062 017,50|0,00
44566019|TVA Biens/Serv.(19,6|161 220,50|0,00
44566020|TVA DED DEBIT B&S20%|375 550,00|0,00
51125100|C.P.-BNP-PAR.Kléber|0,00|126 495,50
60622000|Carburants : NDF|673 199,50|0,00
60635100|Vêtement trav. : NDF|14 335,50|0,00
60642100|Autre Fournit. : NDF|1 011 927,50|0,00
61351100|Loc. véhicules : NDF|83 871,50|0,00
61555010|Entretien VL : NDF|250 023,00|0,00
61831010|Doc.technique : NDF|232 620,00|0,00
62555000|Frs.de déménag NDF|370 029,00|0,00
62561000|Missions:Notes Frais|14 231 002,00|0,00
62561100|I.K. : NDF|14 229 400,00|0,00
62562000|NDF Repas TVA reduit|12 463 305,50|0,00
62815100|Cotisations : NDF|296 856,50|0,00
64751100|Assis.médicale : NDF|114 275,00|0,00
